month,year,date,well_number,depth_to_water,depth_to_water-neg,change
June,2012,6/1/12,20,66.6,-66.6,2.5
June,2014,6/1/14,20,97,-97,-30.4
March,2007,3/1/07,20,64,-64,NaN
March,2008,3/1/08,20,51.7,-51.7,12.3
March,2009,3/1/09,20,51,-51,0.7
March,2010,3/1/10,20,59,-59,-8.0
March,2011,3/1/11,20,41.7,-41.7,17.3
March,2012,3/1/12,20,47.7,-47.7,-6.0
March,2013,3/1/13,20,54,-54,-6.3
March,2014,3/1/14,20,58.7,-58.7,-4.7
May,2007,5/1/07,20,75,-75,NaN
May,2008,5/1/08,20,66.6,-66.6,8.4
May,2009,5/1/09,20,63.2,-63.2,3.4
May,2010,5/1/10,20,75.4,-75.4,-12.2
May,2011,5/1/11,20,59.3,-59.3,16.1
May,2012,5/1/12,20,51.3,-51.3,8.0
May,2014,5/1/14,20,62.7,-62.7,-11.4
November,2007,11/1/07,20,65.6,-65.6,NaN
November,2008,11/1/08,20,52,-52,13.6
November,2009,11/1/09,20,67.1,-67.1,-15.1
November,2011,11/1/11,20,51.5,-51.5,15.6
November,2012,11/1/12,20,51.8,-51.8,-0.3
November,2013,11/1/13,20,70.2,-70.2,-18.4
October,2007,10/1/07,20,64.4,-64.4,NaN
October,2008,10/1/08,20,69.2,-69.2,-4.8
October,2009,10/1/09,20,70.4,-70.4,-1.2
October,2010,10/1/10,20,57.6,-57.6,12.8
October,2011,10/1/11,20,51.6,-51.6,6.0
October,2012,10/1/12,20,59.6,-59.6,-8.0
October,2013,10/1/13,20,79,-79,-19.4
September,2007,9/1/07,20,76.1,-76.1,NaN
September,2008,9/1/08,20,79.7,-79.7,-3.6
September,2009,9/1/09,20,87.7,-87.7,-8.0
September,2010,9/1/10,20,66.6,-66.6,21.1
September,2011,9/1/11,20,73.2,-73.2,-6.6
September,2012,9/1/12,20,77.2,-77.2,-4.0
September,2013,9/1/13,20,74.4,-74.4,2.8
April,2007,4/1/07,21,47.7,-47.7,NaN
April,2008,4/1/08,21,58,-58,-10.3
April,2009,4/1/09,21,42,-42,16.0
April,2010,4/1/10,21,27.7,-27.7,14.3
April,2011,4/1/11,21,29.1,-29.1,-1.4
April,2012,4/1/12,21,24.1,-24.1,5.0
April,2013,4/1/13,21,44.4,-44.4,-20.3
April,2014,4/1/14,21,44.8,-44.8,-0.4
August,2007,8/1/07,21,71.1,-71.1,NaN
August,2008,8/1/08,21,76.8,-76.8,-5.7
August,2009,8/1/09,21,77,-77,-0.2
August,2010,8/1/10,21,72.7,-72.7,4.3
August,2011,8/1/11,21,76.1,-76.1,-3.4
August,2012,8/1/12,21,73.8,-73.8,2.3
August,2013,8/1/13,21,70.1,-70.1,3.7
December,2007,12/1/07,21,31.4,-31.4,NaN
December,2008,12/1/08,21,29.1,-29.1,2.3
December,2009,12/1/09,21,35.1,-35.1,-6.0
December,2011,12/1/11,21,29,-29,6.1
December,2012,12/1/12,21,30,-30,-1.0
December,2013,12/1/13,21,32,-32,-2.0
